Identifier,Location,LatitudeDeg,LatitudeMin,LongitudeDeg,LongitudeMin,Elevation,State,FL450_530
BHM,Birmingham,33,33,-86,44,620,ALABAMA,#
HSV,Huntsville,34,33,-86,46,629,ALABAMA,
MGM,Montgomery,32,13,-86,19,221,ALABAMA,
MOB,Mobile,30,41,-88,14,190,ALABAMA,#
ADK,Adakak,51,56,-176,25,133,ALASKA,#
ADQ,Kodiak,57,46,-152,35,112,ALASKA,#
AFM,Ambler,67,6,-157,51,289,ALASKA,#
AKN,King Salmon,58,44,-156,45,49,ALASKA,#
ANC,Anchorage,61,14,-149,33,131,ALASKA,#
ANN,Annette Island,55,3,-131,37,112,ALASKA,#
BET,Bethel,60,35,-161,35,51,ALASKA,#
BRW,Barrow,71,17,-156,31,13,ALASKA,#
BTI,Barter Island,70,10,-143,55,49,ALASKA,#
BTT,Bettles,66,54,-151,30,673,ALASKA,#
CDB,Cold Bay,55,11,-162,22,102,ALASKA,#
CZF,Cape Romanzof,61,47,-166,2,457,ALASKA,#
EHM,Cape Newenham,58,39,-162,4,541,ALASKA,#
FAI,Fairbanks,64,43,-148,11,453,ALASKA,#
FYU,Fort Yukon,66,35,-145,5,431,ALASKA,#
GAL,Galena,64,44,-156,56,152,ALASKA,#
GKN,Gulkana,62,9,-145,27,21,ALASKA,#
HOM,Homer,59,39,-151,29,78,ALASKA,#
IKO,Nikolski,52,57,-168,51,73,ALASKA,#
JNU,Juneau,58,26,-134,41,23,ALASKA,#
LUR,Cape Lisburne,68,53,-166,7,12,ALASKA,#
MCG,McGrath,62,49,-155,24,338,ALASKA,#
MDO,Middleton Island,59,30,-146,18,72,ALASKA,#
OME,Nome,64,37,-165,5,23,ALASKA,#
ORT,Northway,63,4,-142,4,1722,ALASKA,#
OTZ,Kotzebue,66,39,-162,54,16,ALASKA,#
SNP,St. Paul,57,9,-170,37,30,ALASKA,#
TKA,Talkeetna,62,19,-150,6,358,ALASKA,#
UNK,Unalakleet,63,53,-160,48,21,ALASKA,#
YAK,Yakutat,59,37,-139,30,30,ALASKA,#
PHX,Phoenix,33,25,-111,53,1132,ARIZONA,
PRC,Prescott,34,42,-112,28,5042,ARIZONA,#
TUS,Tucson,32,7,-110,49,2630,ARIZONA,#
FSM,Fort Smith,35,23,-94,16,468,ARKANSAS,
LIT,Little Rock,34,40,-92,10,258,ARKANSAS,#
BIH,Bishop,37,22,-118,21,4120,CALIFORNIA,#
BLH,Blythe,33,35,-114,45,397,CALIFORNIA,#
FAT,Fresno,36,53,-119,48,332,CALIFORNIA,#
FOT,Fortuna,40,40,-124,14,390,CALIFORNIA,
ONT,Ontario,34,3,-117,36,952,CALIFORNIA,
